日期,数值
20200101,0.0
20200102,0.0
20200103,0.0516450822668174
20200104,0.05196449157629286
20200105,0.07749209690447839
20200106,0.08454647100329167
20200107,0.05245228701245559
20200108,0.10064203830336399
20200109,0.1005140858886923
20200110,0.05239507250099072
20200111,0.08638732038632024
20200112,0.05110148255975403
20200113,0.09771219443268751
20200114,0.05105371031673066
20200115,0.05100120717114816
20200116,0.0
20200117,0.0
20200118,0.0
20200119,0.0
20200120,0.0
20200121,0.0
20200122,0.0
20200123,0.0
20200124,0.0
20200125,0.0
20200126,0.0
20200127,0.0
20200128,0.0
20200129,0.0
20200130,0.0
20200131,0.0
20200201,0.0
20200202,0.0
20200203,0.0
20200204,0.0
20200205,0.0
20200206,0.0
20200207,0.0
20200208,0.0
20200209,0.0
20200210,0.0
20200211,0.0
20200212,0.0
20200213,0.0
20200214,0.0
20200215,0.0
20200216,0.0
20200217,0.0
20200218,0.0
20200219,0.0
20200220,0.0
20200221,0.0
20200222,0.0
20200223,0.0
20200224,0.0
20200225,0.0
20200226,0.0
20200227,0.0
20200228,0.0
20200229,0.0
20200301,0.0
20200302,0.0
20200303,0.0
20200304,0.0
20200305,0.0
20200306,0.0
20200307,0.0
20200308,0.0
20200309,0.0
20200310,0.0
20200311,0.0
20200312,0.0
20200313,0.0
20200314,0.0
20200315,0.0
20200316,0.0
20200317,0.0
20200318,0.0
20200319,0.0
20200320,0.0
20200321,0.0
20200322,0.0
20200323,0.0
20200324,0.0
20200325,0.0
20200326,0.0
20200327,0.0
20200328,0.0
20200329,0.0
20200330,0.0
20200331,0.0
20200401,0.0
20200402,0.0
20200403,0.0
20200404,0.0
20200405,0.0
20200406,0.0
20200407,0.0
20200408,0.0
20200409,0.0
20200410,0.0
20200411,0.0
20200412,0.0
20200413,0.0
20200414,0.0
20200415,0.0
20200416,0.0
20200417,0.0
20200418,0.0
20200419,0.0
20200420,0.0
20200421,0.0
20200422,0.0
20200423,0.0
20200424,0.0
20200425,0.0
20200426,0.0
20200427,0.0
20200428,0.0
20200429,0.0
20200430,0.0
20200501,0.0
20200502,0.0
20200503,0.0
20201001,0.12758921802912404
20201002,0.09160888994097147
20201003,0.09170458287925169
20201004,0.03724089495498789
20201005,0.10163830815037417
20201006,0.09603190357412306
20201007,0.08819287869527502
20201008,0.05168868157969744
20201009,0.05159018082000074
20201010,0.0435195378147409
20201011,0.04464086186570285
20201012,0.050727179693341416
20201013,0.0
20201014,0.0
20201015,0.0
20201016,0.05106039110712326
20201017,0.0515834427060288
20201018,0.0
20201019,0.051126653569450634
20201020,0.0
20201021,0.0
20201022,0.0
20201023,0.050809558852827896
20201024,0.05104096711583183
20201025,0.0
20201026,0.05104130034413751
20201027,0.049661017999874046
20201028,0.0
20201029,0.0
20201030,0.0510839499270974
20201031,0.05106371530318073
20201101,0.0
20201102,0.05030284244334193
20201103,0.0
20201104,0.05065293202889865
20201105,0.05006651903955754
20201106,0.0
20201107,0.05082002713815611
20201108,0.0
20201109,0.05127970701801814
20201110,0.0
20201111,0.0
20201112,0.0
20201113,0.0
20201114,0.0
20201115,0.0
20201116,0.0
20201117,0.0
20201118,0.0
20201119,0.0
20201120,0.0
20201121,0.0
20201122,0.0
20201123,0.0
20201124,0.0
20201125,0.0
20201126,0.0
20201127,0.0
20201128,0.0
20201129,0.0
20201130,0.0
20201201,0.0
20201202,0.0
20201203,0.0
20201204,0.0
20201205,0.0
20201206,0.0
20201207,0.0
20201208,0.0
20201209,0.0
20201210,0.0
20201211,0.0
20201212,0.0
20201213,0.0
20201214,0.0
20201215,0.0
20201216,0.0
20201217,0.0
20201218,0.0
20201219,0.0
20201220,0.0
20201221,0.0
20201222,0.0
20201223,0.0
20201224,0.0
20201225,0.0
20201226,0.0
20201227,0.0
20201228,0.0
20201229,0.0
20201230,0.0
20201231,0.0
20210101,0.0
20210102,0.0
20210103,0.0
20210104,0.0
20210105,0.0
20210106,0.0
20210107,0.0
20210108,0.0
20210109,0.0
20210110,0.0
20210111,0.0
20210112,0.0
20210113,0.0
20210114,0.0
20210115,0.0
20210116,0.0
20210117,0.0
20210118,0.0
20210119,0.0
20210120,0.0
20210121,0.0
20210122,0.0
20210123,0.0
20210124,0.0
20210125,0.0
20210126,0.0
20210127,0.0
20210128,0.0
20210129,0.0
20210130,0.0
20210131,0.0
20210201,0.0
20210202,0.0
20210203,0.0
20210204,0.0
20210205,0.0
20210206,0.0
20210207,0.0
20210208,0.0
20210209,0.0
20210210,0.0
20210211,0.0
20210212,0.0
20210213,0.0
20210214,0.0
20210215,0.0
20210216,0.0
20210217,0.0
20210218,0.0
20210219,0.0
20210220,0.0
20210221,0.0
20210222,0.0
20210223,0.0
20210224,0.0
20210225,0.0
20210226,0.0
20210227,0.0
20210228,0.0
20210301,0.025912992944757678
20210302,0.0
20210303,0.0
20210304,0.0
20210305,0.0
20210306,0.0
20210307,0.0
20210308,0.0
20210309,0.0
20210310,0.0
20210311,0.0
20210312,0.0
20210313,0.012709361392033729
20210314,0.0
20210315,0.04988990863058283
20210316,0.0
20210317,0.0
20210318,0.0
20210319,0.0
20210320,0.050669490383310596
20210321,0.0
20210322,0.0
20210323,0.0
20210324,0.0
20210325,0.0
20210326,0.05000474019815293
20210327,0.050186710531536255
20210328,0.0
20210329,0.05054601329755283
20210330,0.048195826871228205
20210331,0.0
20210401,0.0
20210402,0.0
20210403,0.06514080064495358
20210404,0.04998979255588009
20210405,0.05064122561154651
20210406,0.05272739518759459
20210407,0.0
20210408,0.0
20210409,0.0
20210410,0.0508109304235158
20210411,0.0
20210412,0.05090772785907738
20210413,0.0
20210414,0.05095475010722716
20210415,0.051300603300129595
20210416,0.051019520041129154
20210417,0.051665536771958606
20210418,0.050854160606833246
20210419,0.0681603042829385
20210420,0.05071295251952421
20210421,0.05080315350280184
20210422,0.05080239115283476
20210423,0.051284578757018015
20210424,0.07013609664147609
20210425,0.050781435061891055
20210426,0.05114810020448326
20210427,0.050834398503118536
20210428,0.05052056923207484
20210429,0.050470844231114115
20210430,0.08686082802565614
20210501,0.19592858267847582
20210502,0.16738599647466626
20210503,0.11297257529877194
20210504,0.10472500190261713
20210505,0.1414684991619224
20210506,0.12064165938391429
20210507,0.050652146701338406
20210508,0.0
20210509,0.0
20210510,0.0
20210511,0.0
20210512,0.0
20210513,0.049930328887986354
20210514,0.0
20210515,0.05190112519775855
20210516,0.0
20210517,0.0
20210518,0.0
20210519,0.0
20210520,0.0475273184499132
20210521,0.047603390782119975
20210522,0.048554250721465964
20210523,0.0
20210524,0.05077662583584727
20210525,0.0
20210526,0.0
20210527,0.0
20210528,0.0
20210529,0.04697637492373287
20210530,0.0
20210531,0.0
20210601,0.0
20210602,0.048366465632351335
20210603,0.04152814208111505
20210604,0.0
20210605,0.03274663888676038
20210606,0.022716004991583934
20210607,0.031877029381102054
20210608,0.0
20210609,0.0
20210610,0.0
20210611,0.017693961632373984
20210612,0.05723520488221907
20210613,0.010604513357500085
20210614,0.01088628929234497
20210615,0.0
20210616,0.02455534513091854
20210617,0.017821672712297554
20210618,0.0
20210619,0.022055451105048387
20210620,0.0
20210621,0.0
20210622,0.0
20210623,0.0
20210624,0.0
20210625,0.0
20210626,0.0
20210627,0.0
20210628,0.01637625596392735
20210629,0.0
20210630,0.016246730657492384
20210701,0.0
20210702,0.03578981035686135
20210703,0.052856645770031706
20210704,0.047555958397890216
20210705,0.051441150147154925
20210706,0.04570842677647296
20210707,0.05130928145862214
20210709,0.08683585956586488
20210710,0.10035910270781262
20210711,0.0848878030337856
20210712,0.09692808120556853
20210713,0.05152313745900228
20210714,0.09780539896205616
20210715,0.09372898408091293
20210716,0.05228246508667373
20210717,0.05222354286949469
20210718,0.05176049172279461
20210719,0.0986933691980877
20210720,0.05146219103975114
20210721,0.0513205151718507
20210722,0.05120178516420997
20210723,0.051719853141519015
20210724,0.05158360220846245
20210725,0.04463293312210247
20210726,0.03979634560127336
20210727,0.04949672127229909
20210728,0.09383146247788125
20210729,0.05040014655987737
20210730,0.050850813294348846
20210801,0.0
20210802,0.0
20210803,0.0
20210804,0.0
20210805,0.0
20210806,0.0
20210807,0.0
20210808,0.0
20210809,0.0
20210810,0.0
20210811,0.0
20210813,0.0
20210814,0.0
20210815,0.0
20210816,0.0
20210817,0.0
20210818,0.0
20210819,0.0
20210820,0.0
20210821,0.0
20210822,0.0
20210823,0.0
20210824,0.0
20210826,0.0
20210827,0.0
20210828,0.0
20210829,0.0
20210830,0.0
20210901,0.0
20210902,0.0
20210903,0.0
20210904,0.04278984513535946
20210905,0.0
20210906,0.0
20210907,0.0
20210908,0.0
20210909,0.0
20210910,0.04892941968388359
20210911,0.04840877094355867
20210912,0.0
20210913,0.04872440134006803
20210914,0.0
20210915,0.04851297008176374
20210916,0.0
20210917,0.0
20210918,0.0
20210919,0.0
20210920,0.0
20210921,0.0
20210922,0.0
20210923,0.0
20210924,0.0
20210925,0.0
20210926,0.0
20210927,0.0
20210928,0.0
20210929,0.0
20211001,0.0
20211002,0.0
20211003,0.0
20211004,0.0
20211005,0.0
20211006,0.0
20211007,0.0
20211008,0.0
20211009,0.0
20211010,0.0
20211011,0.0
20211012,0.0
20211013,0.0
20211014,0.0
20211015,0.0
20211016,0.05117925380746595
20211017,0.04887595184642787
20211018,0.050789287808004735
20211019,0.0
20211020,0.0
20211021,0.0
20211022,0.0
20211023,0.0
20211024,0.0
20211025,0.0
20211026,0.0
20211027,0.0
20211028,0.0
